initial_condition,parameter,S1,ST
30_05,KN,0.17203698378292834,0.615686696914333
30_05,KP,0.02552971181845486,0.16424838199487993
30_05,KS,0.12221207078639586,0.25544842819373725
30_05,k-4,0.030472508207788226,0.13306626696043883
30_05,k2,0.08193390618300485,0.1840778937372902
30_05,k3,0.11222682692453118,0.270062621682323
30_05,k4,0.0528879560145282,0.14388480337776532
30_05,k5,0.004416695190508045,0.07101211384355963
30_30,KN,0.07312096032624353,0.26606044642077403
30_30,KP,0.04841944953484315,0.3196917313960347
30_30,KS,0.11738465006349173,0.460403906945232
30_30,k-4,0.013416382144552659,0.16782500245555826
30_30,k2,0.07739687955745206,0.2452760492229357
30_30,k3,0.07093636077529095,0.2696385514263583
30_30,k4,0.10051596359699072,0.17750846466805714
30_30,k5,0.0002720523993666025,0.002044331867160076
40_100,KN,0.010499762167414425,0.07052998579297436
40_100,KP,0.08367616483115733,0.45890349373570527
40_100,KS,0.22158081482411304,0.6498886862288202
40_100,k-4,0.003376206135501759,0.24046793167950412
40_100,k2,0.10586054249361843,0.46745663561886325
40_100,k3,0.011536903862594825,0.08575553532987691
40_100,k4,0.0669959846718197,0.1503212190000241
40_100,k5,-0.0009191190908658291,0.006418001042579006
40_22,KN,0.10555017449126311,0.3544056655416994
40_22,KP,0.05737839621631968,0.2956664513008282
40_22,KS,0.09087674857892032,0.371467667981928
40_22,k-4,0.027933478353632663,0.15779866131033654
40_22,k2,0.06767762552790964,0.2040950866636786
40_22,k3,0.09613887866762749,0.2678916056194103
40_22,k4,0.1094449946882785,0.1857834083714183
40_22,k5,-0.0009501901872061396,0.004834285320901924
80_05,KN,0.072242690963603,0.17827061143354783
80_05,KP,0.01340333684220275,0.08066577681715273
80_05,KS,0.12974581693733467,0.2147057090865629
80_05,k-4,0.011442053342928695,0.0332217457714982
80_05,k2,0.10517722870190903,0.15022580775487787
80_05,k3,0.025480205983334003,0.09603537397001088
80_05,k4,0.018933565395458034,0.060513049490064245
80_05,k5,0.0008978447060523295,0.023931236731514344
80_60,KN,0.052088180061516665,0.11355835747354334
80_60,KP,0.0929624599656624,0.3499106259856063
80_60,KS,0.11545601661664592,0.46380579993845167
80_60,k-4,0.019538160064557785,0.18486013914173546
80_60,k2,0.10874337340390942,0.3106591143604383
80_60,k3,0.047845932146638966,0.14571070029433156
80_60,k4,0.11522900271463932,0.2649646422022972
80_60,k5,-0.0007052052215030162,0.003251277590727773
